PARAMETER,VALUE,UNITS/NOTES

HHBserial,HHB00032,(HHB box serial identification)
SEN55_Serial,826B5FD0165CA542,(SEN55 serial identification)
HHBslot1,SP00004,(C/D Sorbent pumping expansion board)
HHBslot2,FP00003,(A Filter pumping expansion board)
HHBslot3,Empty,(No expansion board)
HHBslot4,FP00162,(B Filter pumping expansion board)
HHBslot5,Empty,(No expansion board)
HHBslot6,GS00008,(Gas sensor expansion board)
G.Alphasense1_ID,0202121325,(Alphasense #1 on gas expansion board)
G.SCD30_Serial,557739-9558747-133234424,(SCD30 on gas expansion board)
G.SFA30_Serial,214551794F073BB7,(SFA30 on gas expansion board)
Firmware,HHBv2 Jan 11 2024 08:35:16,(installed firmware version)




SAMPLE IDENTIFICATION

LogFileName,HHB00032_LOG_2024-07-01T18_20UTC.csv,(log file filename-automatically defined)
SampleName,20240701,(sample name)
D.SorbentCID,808678,(D Sorbent tube ID)
C.SorbentCID,808677,(C Sorbent tube ID)
A.FilterCID,BJ0,(A Filter cartridge ID)
B.FilterCID,BJ4,(B Filter cartridge ID)




MASS FLOW SENSOR CALIBRATION

D.SorbentCalDate,2024-06-27T15:37:00,(YYYY-MM-DDTHH:MM:SS) (UTC date time format)
D.SorbentCalVoutMin,0.451000,(V)
D.SorbentCalVoutMax,1.374690,(V)
D.SorbentCalMFMin,0.014000,(mg*min^-1)
D.SorbentCalMFMax,35.841999,(mg*min^-1)
D.SorbentMF4,2.749190,(coefficient)
D.SorbentMF3,5.349280,(coefficient)
D.SorbentMF2,-11.211000,(coefficient)
D.SorbentMF1,34.236500,(coefficient)
D.SorbentMF0,-13.770900,(coefficient)
C.SorbentCalDate,2024-06-27T15:43:00,(YYYY-MM-DDTHH:MM:SS) (UTC date time format)
C.SorbentCalVoutMin,0.445187,(V)
C.SorbentCalVoutMax,1.431440,(V)
C.SorbentCalMFMin,0.005000,(mg*min^-1)
C.SorbentCalMFMax,47.279999,(mg*min^-1)
C.SorbentMF4,-4.051130,(coefficient)
C.SorbentMF3,33.600899,(coefficient)
C.SorbentMF2,-46.687000,(coefficient)
C.SorbentMF1,55.869701,(coefficient)
C.SorbentMF0,-18.481400,(coefficient)
A.FilterCalDate,2024-06-27T15:49:00,(YYYY-MM-DDTHH:MM:SS) (UTC date time format)
A.FilterCalVoutMin,0.585375,(V)
A.FilterCalVoutMax,1.810380,(V)
A.FilterCalMFMin,0.284200,(g*min^-1)
A.FilterCalMFMax,3.123500,(g*min^-1)
A.FilterMF4,0.741438,(coefficient)
A.FilterMF3,-2.228350,(coefficient)
A.FilterMF2,2.499030,(coefficient)
A.FilterMF1,0.317727,(coefficient)
A.FilterMF0,-0.395998,(coefficient)
B.FilterCalDate,2024-06-27T15:53:00,(YYYY-MM-DDTHH:MM:SS) (UTC date time format)
B.FilterCalVoutMin,0.606500,(V)
B.FilterCalVoutMax,1.850620,(V)
B.FilterCalMFMin,0.291100,(g*min^-1)
B.FilterCalMFMax,3.121900,(g*min^-1)
B.FilterMF4,1.098460,(coefficient)
B.FilterMF3,-4.018080,(coefficient)
B.FilterMF2,5.599040,(coefficient)
B.FilterMF1,-1.987440,(coefficient)
B.FilterMF0,0.191105,(coefficient)




SETUP SUMMARY

UTCOffset,-6.00,(hours offset from UTC date time)
ProgrammedRuntime,1800.000000,(s)
SEN55_Runtime,4.087,(Hr)
SEN55_FanRuntime,4.087,(Hr)
D.SorbentPumpStartingVolume,0.18975,(L)
D.SorbentPumpStartingRuntime,0.282,(Hr)
D.SorbentCartridgeStartingVolume,0.00000,(L)
D.SorbentCartridgeStartingRuntime,0.000,(Hr)
D.SorbentVolumetricFlowRate,0.00300,(L*min^-1)
D.SorbentDutyCycle,100.0,(%)
C.SorbentPumpStartingVolume,0.16996,(L)
C.SorbentPumpStartingRuntime,0.442,(Hr)
C.SorbentCartridgeStartingVolume,0.00000,(L)
C.SorbentCartridgeStartingRuntime,0.000,(Hr)
C.SorbentVolumetricFlowRate,0.00300,(L*min^-1)
C.SorbentDutyCycle,100.0,(%)
A.FilterPumpStartingVolume,13.72,(L)
A.FilterPumpStartingRuntime,0.166,(Hr)
A.FilterCartridgeStartingVolume,0.00,(L)
A.FilterCartridgeStartingRuntime,0.000,(Hr)
A.FilterVolumetricFlowRate,2.00,(L*min^-1)
A.FilterDutyCycle,100.0,(%)
B.FilterPumpStartingVolume,16.98,(L)
B.FilterPumpStartingRuntime,0.196,(Hr)
B.FilterCartridgeStartingVolume,0.00,(L)
B.FilterCartridgeStartingRuntime,0.000,(Hr)
B.FilterVolumetricFlowRate,2.00,(L*min^-1)
B.FilterDutyCycle,100.0,(%)
G.Alphasense1_Runtime,3.575,(Hr)
G.FanRuntime,3.971,(Hr)
G.SCD30_Runtime,3.992,(Hr)
G.SFA30_Runtime,3.989,(Hr)




SAMPLE SUMMARY

StartDateTimeUTC,2024-07-01T18:20:00,(YYYY-MM-DDTHH:MM:SS) (UTC date time format)
EndDateTimeUTC,2024-07-01T18:50:00,(YYYY-MM-DDTHH:MM:SS) (UTC date time format)
HHBSampledRuntime,          0.500,(Hr)
D.SorbentShutdownMode,1,(0=uncontrolled 1=test finished 2=high power)
D.SorbentSampledRunTime,          0.499,(Hr)
D.SorbentSampledVolume,        0.08792,(L)
D.SorbentAverageVolumetricFlowRate,        0.00293,(L*min^-1)
C.SorbentShutdownMode,1,(0=uncontrolled 1=test finished 2=high power)
C.SorbentSampledRunTime,          0.499,(Hr)
C.SorbentSampledVolume,        0.09154,(L)
C.SorbentAverageVolumetricFlowRate,        0.00305,(L*min^-1)
A.FilterShutdownMode,1,(0=uncontrolled 1=test finished 2=high power)
A.FilterSampledRunTime,          0.499,(Hr)
A.FilterSampledVolume,          59.96,(L)
A.FilterAverageVolumetricFlowRate,          1.999,(L*min^-1)
B.FilterShutdownMode,1,(0=uncontrolled 1=test finished 2=high power)
B.FilterSampledRunTime,          0.499,(Hr)
B.FilterSampledVolume,          59.94,(L)
B.FilterAverageVolumetricFlowRate,          1.998,(L*min^-1)




SAMPLE LOG

