UPASserial,1422
UPASfirmware,UPAS_v2_0-rev0100-L152RE_20180405_mbed116.bin compiledApr  6 2018_00:19:25UTC
UPASlogFilename,/sd/PS1422_LOG_2020-06-02T18_29_11UTC_DIAGNOSTIC____________.txt
PowerCycles,10,(counts)
CumulativeSamplingTime,5.72,(hrs)


CALIBRATION COEFFICIENTS
MF4,0.015635,(coefficient)
MF3,0.606876,(coefficient)
MF2,-1.676746,(coefficient)
MF1,2.649093,(coefficient)
MF0,-1.030556,(coefficient)
MFSVoltMin,0.525875,(V)
MFSVoltMax,2.153250,(V)
MFSVoltMaxEst,2.990000,(V)
MFSMFMin,0.000200,(g*min^-1)
MFSMFMax,3.300400,(g*min^-1)
MFSMFMaxEst,9.371970,(g*min^-1)
CalUNIXTIME,1584561792.000000,(sec)
CalDateTime,18-03-20_20:03:12,(DD-MM-YY_HH:MM:SS)
FlowOffset,0.000000,(%)


SETUP SUMMARY

PARAMETER,VALUE,UNITS/NOTES
StartOnNextPowerUp,0,(0=no 1=yes)
StartDateTime,2020-06-02T18:29:11UTC,(YYYY-MM-DDTHH:MM:SSUTC)
GPSUTCOffset,-6.00,(hour)
ProgrammedStartDelay,0,(s)
ProgrammedRuntime,172800,(s) (360000000 means 'indefinite')
VolumetricFlowRate,1.000,(L*min^-1)
DutyCycle,0,(%)
DutyCycleWindow,30,(s)
GPSEnabled,1,(0=no 1=yes)
LogFileMode,1,(0=normal 1=debug)
LogInterval,1,(s)
AppLock,0,(0=unlocked,1=locked,-1=not set)
AppVersion,i2.1.9,(i=iOS A=Android)


SAMPLE SUMMARY

PARAMETER,VALUE,UNITS/NOTES
ShutdownMode,0,(0=unknown error 1=user pushbutton stop 2=depleted battery (<2.8v) 3=completed preset sample duration 4=thermal protection shutdown 5=max power at initialization 6=max power during sample 7=blocked flow during sample
StartBatteryCharge,053,(%)
StartBatteryVoltage,2.83,(V)
EndBatteryCharge,053,(%)
EndBatteryVoltage,2.88,(V)
SampledVolume,    1.50,(L)
SampledRuntime,  0.025,(Hr)
LoggedRuntime,  0.025,(Hr)
AverageVolumetricFlow,1.001,(L*min^-1)


DIAGNOSTIC TEST

NO FLOW PRESSURES
(hPa),(hPa),(Pa)
PumpP,PCBP,FdPdP
847.820007,847.359985,-0.016667

MAXIMUM DEADHEAD PRESSURE - FULL POWER AND BLOCKED INLET
(hPa),(hPa),(Pa),(V),(integer),(integer),(integer),(V),(g*min^-1),(g*L^-1),(L*min^-1)
PumpP,PCBP,FdPdP,MFSVolt,PumpPow1,PumpPow2,PumpADS,PumpV,MassFlow,AtmoRho,VolFlow
815.549988,847.400024,546.116638,0.619500,14,0,25548,28.013382,0.000000,0.000000,0.000000

MAXIMUM FLOW - FULL POWER AND OPEN INLET
(hPa),(hPa),(Pa),(V),(integer),(integer),(integer),(V),(g*min^-1),(g*L^-1),(L*min^-1)
PumpP,PCBP,FdPdP,MFSVolt,PumpPow1,PumpPow2,PumpADS,PumpV,MassFlow,AtmoRho,VolFlow
835.510010,846.549988,546.116638,2.073125,14,0,25550,28.015575,2.951006,0.975753,3.024336

MINIMUM FLOW - MINIMUM (IDLE) POWER AND OPEN INLET
(hPa),(hPa),(Pa),(V),(integer),(integer),(integer),(V),(g*min^-1),(g*L^-1),(L*min^-1)
PumpP,PCBP,FdPdP,MFSVolt,PumpPow1,PumpPow2,PumpADS,PumpV,MassFlow,AtmoRho,VolFlow
847.369995,847.150024,33.433334,0.944375,1023,1023,6484,7.109706,0.499354,0.974671,0.512330


SAMPLE LOG

(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS),(L*min^-1),(L),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(integer),(-),(-),(-),(g*min^-1*x^sec^-1),(L*min^-1*x^sec^-1),(integer),(integer),(integer),(V),(bool),(bool),(bool),(bool),(bool)
SampleTime,UnixTime,UTCDateTime,VolFlow,SampledVolume,PumpT,PCBT,FdpT,PumpP,PCBP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,GPSlat,GPSlon,GPSalt,GPSsat,gpsspeed,gpsquality,GPSpdop,GPShdop,GPSvdop,MFlowDelta,VFlowDelta,MFSADS,VInADS,PumpADS,MFSVolt,PumpsON,Dead,BCS1,BCS2,BC_NPG
99:99:99,0,2020-06-02T18:30:13,0.169,0.00,28.33,28.40,29.35,847.75,847.21,119.666664,29.71,0.9740,509,0,9.7,0.16458,2.88,32833,40.542106,-105.098212,1555.9,6,0.136724,1,14.6,9.6,11.0,-0.809,0.000,10711,5875,8876,1.339,1,0,0,1,0
99:99:99,0,2020-06-02T18:30:14,1.064,0.00,28.30,28.42,29.34,846.46,847.19,113.116669,29.78,0.9740,521,0,9.6,1.03652,2.88,32833,40.542104,-105.098209,1555.5,6,0.125930,1,14.6,9.6,11.0,0.063,0.000,10699,5875,8788,1.337,1,0,0,1,0
99:99:99,0,2020-06-02T18:30:15,1.050,0.00,28.20,28.40,29.34,846.43,847.09,110.166664,28.66,0.9745,530,0,9.6,1.02303,2.88,32833,40.542102,-105.098208,1555.3,6,0.114622,1,14.6,9.6,11.0,0.049,0.000,10653,5874,8721,1.332,1,0,0,1,0
99:99:99,0,2020-06-02T18:30:16,1.037,0.00,28.16,28.40,29.31,846.54,847.04,107.099998,28.18,0.9746,537,0,9.5,1.01025,2.88,32833,40.542101,-105.098210,1554.9,7,0.138266,1,14.5,9.5,11.0,0.036,0.000,10600,5875,8673,1.325,1,0,0,1,0
99:99:99,0,2020-06-02T18:30:17,1.030,0.00,28.14,28.39,29.34,846.57,846.97,106.233330,27.84,0.9747,542,0,9.5,1.00342,2.88,32834,40.542099,-105.098210,1554.6,6,0.082754,1,14.5,9.5,11.0,0.029,0.000,10576,5875,8639,1.322,1,0,0,1,0
99:99:99,0,2020-06-02T18:30:18,1.021,0.00,28.11,28.41,29.31,846.54,846.91,104.550003,27.54,0.9748,546,0,9.4,0.99547,2.88,32834,40.542099,-105.098209,1554.5,6,0.168078,1,14.5,9.5,11.0,0.021,0.000,10520,5874,8612,1.315,1,0,0,1,0
99:99:99,0,2020-06-02T18:30:19,1.009,0.00,28.09,28.41,29.32,846.58,846.83,104.633331,27.45,0.9748,547,0,9.4,0.98334,2.88,32834,40.542098,-105.098209,1554.2,6,0.335128,1,14.5,9.5,10.9,0.009,0.000,10536,5874,8605,1.317,1,0,0,1,0
0:00:01,1591122622,2020-06-02T18:30:22,1.006,0.02,28.08,28.41,29.33,846.52,846.90,105.783333,27.23,0.9749,548,0,9.434,0.98085,2.88,32834,40.542100,-105.098213,1553.3,6,0.155742,1,14.5,9.5,10.9,0.006,0.006,10523,5874,8604,1.315,1,0,0,1,0
0:00:02,1591122623,2020-06-02T18:30:23,1.012,0.03,28.08,28.41,29.35,846.63,846.78,103.483330,27.27,0.9748,550,0,9.429,0.98603,2.88,32834,40.542094,-105.098208,1553.0,6,0.159854,1,14.4,9.5,10.9,0.011,0.012,10550,5874,8599,1.319,1,0,0,1,0
0:00:03,1591122624,2020-06-02T18:30:24,1.007,0.05,28.06,28.42,29.34,846.56,846.88,101.916664,27.20,0.9750,551,0,9.415,0.98181,2.88,32834,40.542092,-105.098208,1552.8,6,0.142378,1,14.4,9.5,10.9,0.007,0.007,10528,5874,8586,1.316,1,0,0,1,0
0:00:04,1591122625,2020-06-02T18:30:25,1.008,0.07,28.06,28.43,29.36,846.58,846.88,102.233330,27.17,0.9750,552,0,9.407,0.98238,2.88,32834,40.542096,-105.098215,1552.6,6,0.303774,1,14.4,9.5,10.9,0.007,0.008,10531,5874,8579,1.316,1,0,0,1,0
